"wsg_deb_name","wsg_latest_version","wsg_old_version"
"libheartbeat2","libheartbeat2_3.0.6-7_amd64.deb","1:3.0.5-3.2
"
"libibverbs1","libibverbs1_17.1-1_amd64.deb","1.1.7-1ubuntu1.1
"
"libio-string-perl","libio-string-perl_1.08-3_all.deb","1.08-3
"
"libisc95","None","1:9.9.5.dfsg-3ubuntu0.7
"
"libisccc90","None","1:9.9.5.dfsg-3ubuntu0.7
"
"libisccfg90","None","1:9.9.5.dfsg-3ubuntu0.7
"
"libjemalloc1","libjemalloc1_3.6.0-11_amd64.deb","3.5.1-2
"
"libjs-jquery","libjs-jquery_3.2.1-1_all.deb","1.7.2+dfsg-2ubuntu1
"
"libjs-sphinxdoc","libjs-sphinxdoc_1.6.7-1ubuntu1_all.deb","1.2.2+dfsg-1ubuntu1.1
"
"libjs-underscore","libjs-underscore_1.8.3~dfsg-1_all.deb","1.4.4-2ubuntu1
"
"libklibc","libklibc_2.0.4-9ubuntu2_amd64.deb","2.0.3-0ubuntu1
"
"liblocale-gettext-perl","liblocale-gettext-perl_1.07-3build2_amd64.deb","1.05-7build3
"
"liblockfile-bin","liblockfile-bin_1.14-1.1_amd64.deb","1.09-6ubuntu1
"
"liblog-message-simple-perl","liblog-message-simple-perl_0.10-3_all.deb","0.10-1
"
"liblrm2","liblrm2_1.0.12-7build1_amd64.deb","1.0.11+hg2754-1.1build1
"
"liblrmd1","liblrmd1_1.1.18-0ubuntu1_amd64.deb","1.1.10+git20130802-1ubuntu2.3
"
"liblwres90","None","1:9.9.5.dfsg-3ubuntu0.7
"
"libmodule-pluggable-perl","libmodule-pluggable-perl_5.2-1_all.deb","5.1-1
"
"libnss3-nssdb","None","2:3.21-0ubuntu0.14.04.1
"
"libnvpair1","None","0.6.5.11-1~trusty
"
"libopenhpi2","None","2.14.1-1.3ubuntu2
"
"libopenipmi0","libopenipmi0_2.0.22-1.1ubuntu2_amd64.deb","2.0.18-0ubuntu7.1
"
"libpam-modules-bin","libpam-modules-bin_1.1.8-3.6ubuntu2_amd64.deb","1.1.8-1ubuntu2
"
"libpam-runtime","libpam-runtime_1.1.8-3.6ubuntu2_all.deb","1.1.8-1ubuntu2
"
"libpaper-utils","libpaper-utils_1.1.24+nmu5ubuntu1_amd64.deb","1.1.24+nmu2ubuntu3
"
"libparse-debianchangelog-perl","libparse-debianchangelog-perl_1.2.0-12_all.deb","1.2.0-1ubuntu1
"
"libpe-rules2","libpe-rules2_1.1.18-0ubuntu1_amd64.deb","1.1.10+git20130802-1ubuntu2.3
"
"libpe-status4","None","1.1.10+git20130802-1ubuntu2.3
"
"libpengine4","None","1.1.10+git20130802-1ubuntu2.3
"
"libperl5.18","None","5.18.2-2ubuntu1
"
"libpils2","libpils2_1.0.12-7build1_amd64.deb","1.0.11+hg2754-1.1build1
"
"libplumb2","libplumb2_1.0.12-7build1_amd64.deb","1.0.11+hg2754-1.1build1
"
"libplumbgpl2","libplumbgpl2_1.0.12-7build1_amd64.deb","1.0.11+hg2754-1.1build1
"
"libpod-latex-perl","libpod-latex-perl_0.61-2_all.deb","0.61-1
"
"libqb0","libqb0_1.0.1-1ubuntu1_amd64.deb","0.16.0.real-1ubuntu4
"
"libquorum5","libquorum5_2.4.3-0ubuntu1_amd64.deb","2.3.3-1ubuntu1
"
"librados2","librados2_12.2.4-0ubuntu1_amd64.deb","10.2.11-7.0+428+f5c1db187
"
"libradosstriper1","libradosstriper1_12.2.4-0ubuntu1_amd64.deb","10.2.11-7.0+428+f5c1db187
"
"librbd1","librbd1_12.2.4-0ubuntu1_amd64.deb","10.2.11-7.0+428+f5c1db187
"
